Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","3V","BAT-SMD_CR1616",74.295000,-109.855000,90.000000,top
"C1","0.1uF","C_0805_2012Metric",93.345000,-14.605000,90.000000,top
"C2","0.1uF","C_0805_2012Metric",67.945000,-14.605000,90.000000,top
"C3","0.1uF","C_0805_2012Metric",79.375000,-33.655000,180.000000,top
"C4","0.1uF","C_0805_2012Metric",114.935000,-68.580000,90.000000,top
"C5","0.1uF","C_0805_2012Metric",106.045000,-97.155000,0.000000,top
"C6","0.1uF","C_0805_2012Metric",109.855000,-34.925000,180.000000,top
"C7","0.1uF","C_0805_2012Metric",97.155000,-34.925000,180.000000,top
"R1","10K","R_0805_2012Metric",64.135000,-16.510000,0.000000,top
"R11","10K","R_0805_2012Metric",71.120000,-71.120000,180.000000,top
"R12","10K","R_0805_2012Metric",71.120000,-76.200000,180.000000,top
"R13","1K","R_0805_2012Metric",71.120000,-66.040000,180.000000,top
"U5","BA6162F","SOIC-8_3.9x4.9mm_P1.27mm",106.045000,-103.505000,0.000000,top
